=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.04.28 13:55:57 =~=~=~=~=~=~=~=~=~=~=~=
A0  A1  A2
0.90 0.37 0.42
 
0.89 0.42 0.43
 
0.92 0.41 0.43
 
0.90 0.40 0.42
 
0.89 0.40 0.42
 
0.88 0.38 0.43
 
0.92 0.38 0.43
 
0.89 0.40 0.42
 
0.89 0.40 0.43
 
0.92 0.40 0.42
 
0.93 0.42 0.43
 
0.92 0.41 0.43
 
0.91 0.41 0.43
 
0.90 0.42 0.43
 
0.91 0.41 0.43
 
0.90 0.40 0.44
 
0.92 0.41 0.42
 
0.87 0.41 0.43
 
0.91 0.41 0.43
 
0.92 0.41 0.43
 
0.93 0.42 0.43
 
0.93 0.42 0.43
 
0.94 0.47 0.44
 
0.94 0.46 0.44
 
0.94 0.44 0.44
 
0.94 0.43 0.43
 
0.93 0.43 0.43
 
0.94 0.45 0.44
 
0.94 0.45 0.44
 
0.94 0.44 0.44
 
0.94 0.47 0.44
 
0.94 0.44 0.44
 
0.94 0.44 0.44
 
0.95 0.43 0.44
 
0.95 0.42 0.44
 
0.95 0.42 0.44
 
0.95 0.43 0.44
 
0.95 0.43 0.44
 
0.95 0.43 0.44
 
0.96 0.43 0.45
 
0.96 0.43 0.45
 
0.96 0.43 0.45
 
0.96 0.43 0.45
 
0.96 0.40 0.45
 
0.97 0.43 0.45
 
0.97 0.43 0.45
 
0.96 0.44 0.45
 
0.97 0.44 0.45
 
0.96 0.43 0.45
 
0.96 0.43 0.45
 
0.97 0.43 0.45
 
0.96 0.43 0.45
 
0.96 0.43 0.45
 
0.96 0.43 0.45
 
0.95 0.43 0.45
 
0.95 0.43 0.45
 
0.95 0.43 0.44
 
0.95 0.43 0.45
 
0.95 0.43 0.44
 
0.94 0.43 0.44
 
0.94 0.43 0.44
 
0.89 0.56 0.42
 
0.87 0.45 0.42
 
0.87 0.43 0.42
 
0.88 0.42 0.42
 
0.88 0.44 0.42
 
0.88 0.44 0.42
 
0.88 0.44 0.42
 
0.88 0.44 0.42
 
0.88 0.44 0.42
 
0.89 0.44 0.42
 
0.89 0.45 0.42
 
0.88 0.45 0.42
 
0.89 0.45 0.42
 
0.89 0.43 0.43
 
0.89 0.41 0.42
 
0.89 0.41 0.43
 
0.89 0.41 0.42
 
0.89 0.39 0.42
 
0.89 0.41 0.42
 
0.89 0.41 0.42
 
0.89 0.41 0.42
 
0.89 0.41 0.43
 
0.89 0.41 0.42
 
0.89 0.41 0.42
 
0.89 0.41 0.42
 
0.89 0.41 0.42
 
0.89 0.41 0.42
 
0.89 0.41 0.42
 
0.89 0.41 0.42
 
0.89 0.41 0.42
 
0.89 0.41 0.42
 
0.89 0.41 0.42
 
0.89 0.42 0.42
 
0.89 0.41 0.42
 
0.88 0.41 0.42
 
0.89 0.41 0.42
 
0.89 0.41 0.42
 
0.89 0.42 0.42
 
0.89 0.42 0.42
 
0.89 0.41 0.43
 
0.89 0.43 0.42
 
0.89 0.42 0.42
 
0.89 0.42 0.43
 
0.89 0.42 0.42
 
0.89 0.43 0.43
 
0.89 0.43 0.42
 
0.89 0.42 0.42
 
0.89 0.42 0.42
 
0.89 0.42 0.42
 
0.89 0.42 0.42
 
0.88 0.42 0.42
 
0.88 0.42 0.42
 
0.89 0.42 0.42
 
0.89 0.42 0.43
 
0.89 0.42 0.42
 
0.88 0.42 0.42
 
0.88 0.42 0.42
 
0.88 0.42 0.42
 
0.88 0.42 0.42
 
0.88 0.42 0.42
 
0.88 0.42 0.42
 
0.89 0.42 0.42
 
0.89 0.43 0.42
 
0.88 0.42 0.42
 
0.88 0.42 0.42
 
0.88 0.42 0.42
 
0.88 0.42 0.42
 
0.88 0.42 0.42
 
0.89 0.42 0.42
 
0.88 0.42 0.42
 
0.88 0.43 0.42
 
0.88 0.42 0.42
 
0.88 0.42 0.42
 
0.88 0.42 0.42
 
0.88 0.42 0.42
 
0.88 0.42 0.42
 
0.88 0.42 0.42
 
0.89 0.42 0.42
 
0.88 0.42 0.42
 
0.88 0.42 0.42
 
0.88 0.42 0.42
 
0.88 0.42 0.42
 
0.88 0.42 0.42
 
0.88 0.42 0.42
 
0.88 0.42 0.42
 
0.87 0.42 0.42
 
0.88 0.42 0.42
 
0.88 0.41 0.42
 
0.88 0.42 0.42
 
0.88 0.42 0.42
 
0.88 0.42 0.42
 
0.88 0.41 0.42
 
0.88 0.42 0.42
 
0.88 0.41 0.42
 
0.88 0.41 0.42
 
0.88 0.42 0.42
 
0.87 0.42 0.42
 
0.88 0.41 0.42
 
0.88 0.41 0.42
 
0.88 0.41 0.42
 
0.87 0.41 0.42
 
0.87 0.41 0.42
 
0.88 0.41 0.42
 
0.87 0.41 0.42
 
0.87 0.41 0.42
 
0.87 0.41 0.42
 
0.87 0.41 0.42
 
0.88 0.41 0.42
 
