A0,A1,A2
5,4.86,4.91
4.75,3.87,1.78
1.42,0.43,0.44
0.78,0,0
0.05,0,0
0.04,0,0
0.41,0,0.92
3.58,3.67,4.15
5,4.71,4.79
5,5,5
5,4.53,4.67
5,4.62,3.96
4.57,1.77,1.21
1.3,0.44,0.27
0.54,0,0
0.16,0,0
0.05,0,0
0.49,0.13,1.54
3.81,3.8,3.95
5,4.46,4.81
5,4.25,4.98
5,4.77,5
5,4.66,3.34
3.26,1.37,1.06
1.27,0,0.12
0.42,0,0
0.03,0,0
0.05,0.01,0
0.63,1.44,3.01
4.5,4.16,4.19
5,4.7,5
5,5,4.39
5,4.89,4.91
5,3.62,3.92
2.17,0.87,0.58
1.02,0.44,0
0.35,0,0
0.08,0,0
0.52,0,0
1.04,2.91,3.57
4.77,4.57,4.8
5,4.74,5
5,4.88,5
5,4.14,4.53
5,3.81,2.59
1.63,0.49,0.16
0.65,0,0
0.09,0,0
0.12,0.2,0.02
0.2,0,1.2
2.64,3.2,4.37
5,4.66,4.81
5,5,5
5,5,5
5,5,4.7
4.71,3.32,1.08
0.83,0,0
0.39,0,0
0.06,0,0
0.47,0,0.36
0.31,0,1.75
4.27,4.46,4.73
5,4.69,4.79
5,5,5
5,4.76,4.56
5,4.59,4.98
5,3.1,0.75
0.52,0,0
0.41,0,0
0.03,0,0
0.39,0,0
0.43,1.19,2.18
4.53,4.7,4.76
5,4.67,4.83
5,5,5
4.73,5,5
5,4.7,2.92
3.3,0.77,0.08
0.44,0,0
0.39,0,0
0.14,0.69,0.42
0.53,0,0
0.49,2.13,4.35
5,4.64,4.75
5,4.67,4.86
5,5,5
5,5,4.97
5,4.58,3.6
2.04,0.08,0
0.55,0,0
0.37,0,0
0.6,0,0
0.87,0,0
1.08,1.62,3.75
5,4.42,4.82
5,4.68,5
5,4.77,4.73
4.83,5,5
5,3.35,4.69
1.84,0.42,0.02
0.62,0,0
0.36,0,0
0.04,0,0
0.52,0,0
0.43,2.95,4.08
5,4.66,4.82
5,4.71,5
5,4.63,5
5,5,5
5,3.66,4.34
1.92,0.21,0.53
0.88,0,0
0.07,0,0
0.05,0,0
0.13,0,0.38
1.96,3.1,4.12
5,4.52,4.74
5,4.75,5
5,4.9,4.9
5,4.28,4.97
5,4.65,1.86
1.66,0.06,0.31
0.62,0,0
0.07,0,0
0.72,0,0
0.53,0,1.01
3.16,3.07,4.06
4.85,4.54,4.78
5,5,4.5
4.7,5,5
4.92,4.43,4.91
4.64,2.39,1.6
1.17,0.31,0.11
0.5,0,0
0.04,0,0
0.08,0,0
0.5,0,0.83
3.83,4.23,4.75
5,4.68,4.84
5,5,5
5,5,5
4.91,4.5,4.42
4.65,1.28,0.61
0.8,0,0
0.4,0,0.13
0.35,0,0.17
0.13,0.36,0
0.38,1.79,1.26
