=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.03.24 08:54:25 =~=~=~=~=~=~=~=~=~=~=~=
A0  A1  A2
0.29 0.06 0.26
 
0.29 0.06 0.26
 
0.29 0.06 0.26
 
0.29 0.07 0.25
 
0.29 0.07 0.26
 
0.29 0.07 0.26
 
0.29 0.06 0.25
 
0.29 0.06 0.25
 
0.29 0.06 0.26
 
0.29 0.06 0.25
 
0.29 0.06 0.26
 
0.29 0.06 0.25
 
0.29 0.06 0.26
 
0.29 0.06 0.26
 
0.29 0.06 0.25
 
0.29 0.06 0.26
 
0.29 0.07 0.26
 
0.29 0.07 0.26
 
0.29 0.06 0.26
 
0.29 0.06 0.26
 
0.29 0.06 0.25
 
0.29 0.06 0.26
 
0.29 0.06 0.26
 
0.29 0.07 0.25
 
0.29 0.06 0.25
 
0.29 0.06 0.26
 
0.29 0.06 0.26
 
0.29 0.06 0.25
 
0.29 0.06 0.25
 
0.29 0.06 0.25
 
0.29 0.06 0.25
 
0.29 0.06 0.25
 
0.29 0.06 0.25
 
0.29 0.06 0.25
 
0.29 0.06 0.25
 
0.29 0.06 0.25
 
0.29 0.06 0.25
 
0.29 0.06 0.25
 
0.29 0.06 0.25
 
0.29 0.07 0.25
 
0.29 0.07 0.25
 
0.29 0.06 0.25
 
0.29 0.06 0.25
 
0.29 0.06 0.25
 
0.29 0.06 0.25
 
0.29 0.06 0.25
 
0.29 0.06 0.25
 
0.29 0.06 0.25
 
0.29 0.06 0.25
 
0.29 0.06 0.25
 
0.29 0.06 0.25
 
0.29 0.06 0.25
 
0.29 0.06 0.25
 
0.29 0.06 0.25
 
0.29 0.07 0.25
 
0.29 0.06 0.25
 
0.29 0.06 0.25
 
0.29 0.06 0.25
 
0.29 0.07 0.25
 
0.29 0.07 0.25
 
0.29 0.06 0.25
 
0.29 0.07 0.25
 
0.29 0.06 0.25
 
0.29 0.06 0.25
 
0.29 0.06 0.25
 
0.29 0.07 0.25
 
0.29 0.06 0.25
 
0.29 0.06 0.25
 
0.29 0.06 0.25
 
0.29 0.06 0.25
 
0.29 0.06 0.24
 
0.29 0.06 0.25
 
0.29 0.06 0.25
 
0.29 0.06 0.25
 
0.29 0.06 0.25
 
0.29 0.06 0.25
 
0.29 0.06 0.25
 
0.29 0.06 0.25
 
0.29 0.06 0.25
 
