=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.03.02 09:06:43 =~=~=~=~=~=~=~=~=~=~=~=
 A0  A1  A2
0.20 0.10 0.07
 
0.20 0.10 0.06
 
0.20 0.11 0.07
 
0.21 0.11 0.07
 
0.20 0.11 0.06
 
0.20 0.11 0.06
 
0.20 0.10 0.07
 
0.20 0.10 0.07
 
0.20 0.11 0.07
 
0.20 0.10 0.07
 
0.20 0.10 0.06
 
0.20 0.11 0.07
 
0.20 0.11 0.07
 
0.20 0.11 0.07
 
0.21 0.10 0.07
 
0.20 0.10 0.07
 
0.20 0.11 0.07
 
0.20 0.11 0.07
 
0.20 0.10 0.06
 
0.20 0.10 0.07
 
0.20 0.10 0.07
 
0.20 0.10 0.07
 
0.20 0.10 0.06
 
0.20 0.10 0.06
 
0.20 0.10 0.07
 
0.20 0.10 0.07
 
0.20 0.10 0.06
 
0.21 0.10 0.07
 
0.20 0.10 0.07
 
0.20 0.10 0.06
 
0.20 0.10 0.06
 
0.20 0.10 0.07
 
0.20 0.10 0.06
 
0.20 0.11 0.06
 
0.20 0.11 0.07
 
0.20 0.10 0.06
 
0.21 0.10 0.07
 
0.20 0.10 0.07
 
0.20 0.10 0.07
 
0.20 0.10 0.06
 
0.20 0.10 0.07
 
0.20 0.10 0.06
 
0.20 0.10 0.07
 
0.20 0.10 0.06
 
0.20 0.10 0.06
 
0.20 0.11 0.07
 
0.21 0.10 0.07
 
0.20 0.10 0.07
 
0.20 0.10 0.07
 
0.20 0.10 0.06
 
0.20 0.10 0.07
 
0.20 0.11 0.07
 
0.20 0.10 0.07
 
0.20 0.10 0.06
 
0.20 0.10 0.06
 
0.20 0.11 0.06
 
0.20 0.10 0.06
 
0.20 0.10 0.06
 
0.20 0.10 0.06
 
0.20 0.10 0.07
 
0.20 0.10 0.07
 
0.20 0.10 0.06
 
0.20 0.10 0.06
 
0.20 0.10 0.06
 
0.20 0.10 0.07
 
0.20 0.10 0.07
 
0.20 0.10 0.07
 
0.20 0.10 0.07
 
0.20 0.10 0.06
 
0.20 0.10 0.07
 
0.20 0.10 0.06
 
0.20 0.10 0.06
 
0.20 0.10 0.06
 
0.20 0.10 0.07
 
0.20 0.10 0.06
 
0.20 0.10 0.06
 
0.20 0.10 0.06
 
0.20 0.10 0.06
 
0.20 0.10 0.06
 
0.20 0.10 0.06
 
0.20 0.10 0.06
 
0.20 0.10 0.06
 
0.20 0.10 0.07
 
0.20 0.10 0.06
 
0.20 0.10 0.07
 
0.20 0.10 0.06
 
0.20 0.10 0.06
 
0.20 0.10 0.06
 
0.20 0.10 0.06
 
0.20 0.10 0.06
 
0.20 0.10 0.06
 
0.20 0.10 0.07
 
0.20 0.10 0.07
 
0.20 0.10 0.06
 
0.20 0.10 0.07
 
0.20 0.10 0.06
 
0.20 0.10 0.06
 
0.20 0.10 0.06
 
0.20 0.10 0.06
 
0.20 0.10 0.07
 
0.20 0.10 0.07
 
0.20 0.10 0.06
 
0.20 0.10 0.07
 
0.20 0.10 0.06
 
0.20 0.10 0.06
 
0.20 0.10 0.06
 
0.20 0.10 0.06
 
0.20 0.10 0.06
 
0.20 0.10 0.06
 
0.20 0.10 0.06
 
0.20 0.10 0.06
 
0.20 0.10 0.06
 
0.20 0.10 0.06
 
