=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.03.23 10:29:19 =~=~=~=~=~=~=~=~=~=~=~=
 A0  A1  A2
0.28 0.27 0.26
 
0.29 0.27 0.27
 
0.29 0.27 0.26
 
0.28 0.24 0.23
 
0.29 0.23 0.24
 
0.28 0.23 0.25
 
0.28 0.23 0.25
 
0.28 0.23 0.25
 
0.29 0.23 0.26
 
0.29 0.23 0.28
 
0.29 0.22 0.26
 
0.28 0.22 0.26
 
0.29 0.22 0.26
 
0.29 0.23 0.27
 
0.29 0.23 0.27
 
0.29 0.23 0.27
 
0.29 0.23 0.26
 
0.29 0.23 0.25
 
0.29 0.23 0.25
 
0.28 0.22 0.24
 
0.29 0.22 0.24
 
0.29 0.23 0.24
 
0.29 0.22 0.24
 
0.29 0.22 0.24
 
0.29 0.22 0.24
 
0.29 0.22 0.23
 
0.29 0.22 0.23
 
0.29 0.22 0.23
 
0.29 0.22 0.23
 
0.29 0.22 0.23
 
0.29 0.22 0.21
 
0.29 0.23 0.20
 
0.29 0.23 0.20
 
0.29 0.22 0.22
 
0.29 0.23 0.21
 
0.29 0.22 0.21
 
0.29 0.23 0.21
 
0.29 0.22 0.21
 
0.29 0.23 0.21
 
0.29 0.22 0.21
 
0.29 0.22 0.22
 
0.29 0.22 0.22
 
0.30 0.22 0.23
 
0.29 0.23 0.24
 
0.29 0.22 0.23
 
0.29 0.22 0.23
 
0.29 0.22 0.24
 
0.30 0.23 0.23
 
0.29 0.23 0.23
 
0.30 0.22 0.23
 
0.29 0.23 0.23
 
0.29 0.23 0.23
 
0.30 0.22 0.23
 
0.30 0.23 0.24
 
0.30 0.22 0.23
 
0.30 0.22 0.22
 
0.30 0.23 0.22
 
0.30 0.23 0.22
 
0.30 0.23 0.22
 
0.30 0.23 0.22
 
0.30 0.23 0.22
 
0.30 0.23 0.22
 
0.30 0.23 0.22
 
0.30 0.23 0.23
 
0.30 0.22 0.23
 
0.30 0.23 0.22
 
0.30 0.23 0.22
 
0.30 0.23 0.22
 
0.30 0.23 0.22
 
0.30 0.23 0.22
 
0.30 0.23 0.22
 
0.30 0.23 0.23
 
0.30 0.23 0.23
 
0.30 0.23 0.24
 
0.30 0.23 0.24
 
0.30 0.23 0.24
 
0.30 0.23 0.23
 
0.30 0.23 0.24
 
0.30 0.23 0.24
 
0.30 0.23 0.25
 
0.30 0.23 0.25
 
0.30 0.23 0.24
 
0.30 0.23 0.27
 
0.30 0.23 0.26
 
0.30 0.23 0.26
 
0.30 0.23 0.26
 
0.30 0.22 0.26
 
0.30 0.22 0.26
 
0.30 0.22 0.26
 
0.30 0.22 0.26
 
0.30 0.22 0.26
 
0.30 0.21 0.26
 
0.30 0.20 0.26
 
0.30 0.21 0.26
 
0.30 0.21 0.28
 
0.30 0.21 0.28
 
