=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.04.27 09:17:35 =~=~=~=~=~=~=~=~=~=~=~=

A0  A1  A2
0.00 0.87 0.27
 
0.38 0.00 0.00
 
0.00 0.00 2.34
 
4.10 4.18 4.40
 
4.78 5.00 5.00
 
5.00 5.00 5.00
 
5.00 5.00 5.00
 
5.00 4.92 4.12
 
2.05 1.29 0.81
 
0.99 0.47 0.00
 
0.00 0.00 0.00
 
0.45 0.26 0.00
 
0.17 0.00 0.00
 
1.08 1.34 2.95
 
3.99 3.94 4.52
 
4.73 4.73 5.00
 
5.00 5.00 4.76
 
4.87 5.00 5.00
 
5.00 4.24 5.00
 
2.04 1.49 1.03
 
0.92 0.46 0.61
 
0.00 0.00 0.00
 
0.17 0.00 0.00
 
0.00 0.00 0.17
 
1.06 3.01 3.48
 
4.01 4.05 4.37
 
4.51 5.00 5.00
 
5.00 5.00 5.00
 
5.00 5.00 5.00
 
5.00 4.28 2.65
 
1.67 1.02 0.82
 
1.22 0.45 0.02
 
0.00 0.00 0.47
 
0.63 0.00 0.00
 
0.00 0.00 0.78
 
2.38 3.25 3.81
 
4.36 4.25 4.51
 
4.83 5.00 5.00
 
5.00 4.96 5.00
 
5.00 5.00 4.37
 
4.61 3.43 1.60
 
1.11 0.98 0.58
 
0.46 0.00 0.00
 
0.00 0.00 0.00
 
0.00 0.04 0.00
 
0.00 0.00 1.00
 
3.35 3.93 4.48
 
4.45 4.45 5.00
 
5.00 5.00 5.00
 
5.00 5.00 5.00
 
5.00 4.78 3.34
 
3.59 1.61 0.87
 
0.95 0.36 0.34
 
0.09 0.00 0.00
 
0.23 0.00 0.00
 
0.00 0.00 0.00
 
0.42 1.51 0.88
 
4.01 4.59 4.52
 
4.87 5.00 5.00
 
5.00 5.00 5.00
 
4.83 5.00 5.00
 
5.00 5.00 5.00
 
1.84 1.33 0.45
 
0.40 0.14 0.00
 
0.00 0.00 0.00
 
0.00 0.00 0.00
 
0.00 0.00 0.00
 
0.84 2.03 3.52
 
4.43 4.68 5.00
 
5.00 5.00 5.00
 
5.00 5.00 4.82
 
5.00 4.96 5.00
 
5.00 2.96 5.00
 
1.65 0.62 0.29
 
0.20 0.00 0.00
 
0.00 0.00 0.00
 
0.62 0.22 0.00
 
0.00 0.00 0.00
 
1.54 1.48 4.09
 
4.77 5.00 4.83
 
5.00 5.00 5.00
 
5.00 5.00 5.00
 
5.00 5.00 5.00
 
4.03 5.00 1.91
 
1.07 0.02 0.32
 
0.14 0.00 0.00
 
0.00 0.42 0.33
 
0.28 0.20 0.00
 
0.07 0.00 1.22
 
0.74 3.55 4.15
 
4.66 4.87 5.00
 
5.00 5.00 5.00
 
4.71 5.00 5.00
 
5.00 5.00 5.00
 
3.72 5.00 1.51
 
0.38 0.71 0.36
 
0.00 0.00 0.00
 
0.00 0.00 0.00
 
0.10 0.20 0.00
